record_key,record_type,run_id,soc,aic,mode,global_index,workload_index,workload_id,rank,shape,dtype,template,T,S,C,G,L2,median_ms,stddev_ms,tflops,speedup_vs_official,delta_pct,noise_pct,status,mark,official_ms,best_rank,ocr_complete,notes,I,L1,DB,L2O,preflight_contract,trans_a,trans_b
bank_control:20260728_015915:attention_value_1024,bank_control,20260728_015915,Ascend910B3,20,full,,15,attention_value_1024,0,1024x128x1024,fp16,BASE,64x128x128,64x128x1024,20,16x1,1x1(16x1),0.0059132,0,45.3959710478,,,,within_noise,,0.0059084,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:vision_projection,baseline,20260728_015915,Ascend910B3,20,full,,16,vision_projection,-1,3136x4096x1024,fp16,,,,,,,0.107354,5.59397e-05,245.046,,,,success,,0.107354,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:vision_projection,bank_control,20260728_015915,Ascend910B3,20,full,,16,vision_projection,0,3136x4096x1024,fp16,BASE,128x256x64,128x256x1024,20,25x16,1x1(25x16),0.106882,0,246.128203888,,,,within_noise,,0.107354,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:skinny_m_large_k,baseline,20260728_015915,Ascend910B3,20,full,,17,skinny_m_large_k,-1,17x4096x16384,fp16,,,,,,,0.064878,6.54006e-05,35.1691,,,,success,,0.064878,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:skinny_m_large_k,bank_control,20260728_015915,Ascend910B3,20,full,,17,skinny_m_large_k,0,17x4096x16384,fp16,BASE,32x256x64,32x256x16384,20,1x16,1x4(1x5),0.064334,0,35.4664932384,,,,within_noise,,0.064878,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,64x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:skinny_n_large_k,baseline,20260728_015915,Ascend910B3,20,full,,18,skinny_n_large_k,-1,4096x17x16384,fp16,,,,,,,0.103036,0.000200036,22.1446,,,,success,,0.103036,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:skinny_n_large_k,bank_control,20260728_015915,Ascend910B3,20,full,,18,skinny_n_large_k,0,4096x17x16384,fp16,BASE,128x32x64,128x32x16384,20,32x1,8x1(4x1),0.104695,0,21.7937950809,,,,regressed,,0.103036,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x64,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:skinny_n_holdout_m3072_k8192,baseline,20260728_015915,Ascend910B3,20,full,,19,skinny_n_holdout_m3072_k8192,-1,3072x17x8192,fp16,,,,,,,0.066944,0.000153231,12.7814,,,,success,,0.066944,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:skinny_n_holdout_m3072_k8192,bank_control,20260728_015915,Ascend910B3,20,full,,19,skinny_n_holdout_m3072_k8192,0,3072x17x8192,fp16,BASE,128x32x64,128x32x8192,20,24x1,1x1(24x1),0.067562,0,12.6644861905,,,,within_noise,,0.066944,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x64,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:skinny_n_holdout_n24_k12288,baseline,20260728_015915,Ascend910B3,20,full,,20,skinny_n_holdout_n24_k12288,-1,4096x24x12288,fp16,,,,,,,0.159223,0.00104757,15.1732,,,,success,,0.159223,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:skinny_n_holdout_n24_k12288,bank_control,20260728_015915,Ascend910B3,20,full,,20,skinny_n_holdout_n24_k12288,0,4096x24x12288,fp16,BASE,128x32x64,128x32x12288,20,32x1,1x1(32x1),0.158695,0,15.2236623964,,,,within_noise,,0.159223,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x64,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:skinny_n_holdout_m4608_n31,baseline,20260728_015915,Ascend910B3,20,full,,21,skinny_n_holdout_m4608_n31,-1,4608x31x16384,fp16,,,,,,,0.107518,0.000235198,43.5353,,,,success,,0.107518,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:skinny_n_holdout_m4608_n31,bank_control,20260728_015915,Ascend910B3,20,full,,21,skinny_n_holdout_m4608_n31,0,4608x31x16384,fp16,BASE,128x32x64,128x32x16384,20,36x1,9x1(4x1),0.105924,0,44.1905825309,,,,improved,,0.107518,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x64,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:skinny_n_boundary_n33,baseline,20260728_015915,Ascend910B3,20,full,,22,skinny_n_boundary_n33,-1,4096x33x16384,fp16,,,,,,,0.0939108,0.000212078,47.1637,,,,success,,0.0939108,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:skinny_n_boundary_n33,bank_control,20260728_015915,Ascend910B3,20,full,,22,skinny_n_boundary_n33,0,4096x33x16384,fp16,BASE,128x48x64,128x48x16384,20,32x1,8x1(4x1),0.0948196,0,46.7117033187,,,,within_noise,,0.0939108,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x32,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:large_k_small_mn,baseline,20260728_015915,Ascend910B3,20,full,,23,large_k_small_mn,-1,128x128x32768,fp16,,,,,,,0.0327812,8.74306e-05,32.7548,,,,success,,0.0327812,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:large_k_small_mn,bank_control,20260728_015915,Ascend910B3,20,full,,23,large_k_small_mn,0,128x128x32768,fp16,DETERMINISTIC_SPLIT_K,128x128x128,384x128x384,20,1x1,1x1(8x1),0.0333464,0,32.1996324641,,,,regressed,,0.0327812,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,1,9x6,2x2x2,0,grid9_v1,0,0
baseline:20260728_015915:odd_tail_1,baseline,20260728_015915,Ascend910B3,20,full,,24,odd_tail_1,-1,257x1009x4097,fp16,,,,,,,0.049586,7.94473e-05,42.851,,,,success,,0.049586,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:odd_tail_1,bank_control,20260728_015915,Ascend910B3,20,full,,24,odd_tail_1,0,257x1009x4097,fp16,BASE,128x176x64,128x176x4097,20,3x6,1x1(3x6),0.0500188,0,42.4802418691,,,,within_noise,,0.049586,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:odd_tail_2,baseline,20260728_015915,Ascend910B3,20,full,,25,odd_tail_2,-1,1025x4097x3073,fp16,,,,,,,0.184911,0.000193378,139.579,,,,success,,0.184911,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:odd_tail_2,bank_control,20260728_015915,Ascend910B3,20,full,,25,odd_tail_2,0,1025x4097x3073,fp16,BASE,128x256x64,128x256x3073,20,9x17,1x1(9x17),0.181318,0,142.344753692,,,,improved,,0.184911,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:odd_tail_3,baseline,20260728_015915,Ascend910B3,20,full,,26,odd_tail_3,-1,4095x11007x4093,fp16,,,,,,,1.83983,0.000366682,200.547,,,,success,,1.83983,,1,structured_from_successful_full_terminal_log,,,,,,0,0
bank_control:20260728_015915:odd_tail_3,bank_control,20260728_015915,Ascend910B3,20,full,,26,odd_tail_3,0,4095x11007x4093,fp16,BASE,128x256x64,128x256x4093,20,32x43,3x2(11x22),1.83473,0,201.104806533,,,,within_noise,,1.83983,,1,structured_from_successful_full_terminal_log; L2O=official_seed_zero,0,16x8,2x2x1,0,grid9_v1,0,0
baseline:20260728_015915:trans_a_case,baseline,20260728_015915,Ascend910B3,20,full,,27,trans_a_case,-1,4096x3072x2048,fp16,,,,,,,0.200272,9.14612e-05,257.348,,,,success,,0.200272,,1,structured_from_successful_full_terminal_log,,,,,,1,0
