campaign,soc,aic,workload_id,m,n,k,dtype,trans_a,trans_b,tiling_signature,candidate_source,median_ms,ratio_vs_official,ratio_vs_bank,status_vs_official,status_vs_bank,model_ratio,verified,structured_verified
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,6:2432:448:192:32:112:48:32:32:4:4:1:4:4:2:1:1:2:2:1:2:1:2,contract_global,12.8801403809,47.3030226480481,47.3213313091035,regressed,regressed,1.0146120525535354,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,15:384:1280:384:128:128:128:9:6:3:1:1:3:3:2:2:2:1:1:13:1:0:3,contract_global,0.42788520813,1.57143191707739,1.5737669818765,regressed,regressed,1.1269934261340289,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,8:4864:384:384:128:128:128:6:9:1:3:0:3:3:2:2:2:1:1:1:4:1:3,contract_global,0.737386398315,2.70809202915585,2.71211611082172,regressed,regressed,1.1413501999403874,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,20:128:1280:48:64:16:48:1:2:1:1:1:1:1:1:2:1:13:1:3:1:0:2,contract_global,19.7681445313,72.5811149900275,72.7074751945749,regressed,regressed,1.0616923213562939,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_tall,4864,1280,5632,fp16,0,0,20:608:64:128:192:16:16:48:16:3:2:0:8:8:1:2:1:1:7:8:3:2:2,contract_global,8.43323974609,30.9636517873703,31.0175580049712,regressed,regressed,1.062922739739301,1,1
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,20:256:1216:5632:48:48:16:64:8:4:1:1:8:8:2:1:1:1:2:5:2:1:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,14:192:2432:5632:48:48:32:8:4:4:1:1:2:2:2:1:1:4:1:2:2:2:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,14:96:4864:5632:48:16:128:4:4:1:2:1:2:2:2:2:1:14:1:1:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,20:256:976:5632:128:32:32:16:16:2:2:1:4:4:1:2:1:2:1:3:5:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
balanced_racing_net_log21,Ascend910B3,20,external_v4_dense_wide,1280,4864,5632,fp16,0,0,10:128:4864:5632:32:272:64:2:2:2:1:1:1:1:2:1:1:10:1:1:1:0:0,runtime_rejected,,1,1,runtime_rejected,runtime_rejected,,0,0
